"id","Length","Diameter","Height","Weight","Shucked.Weight","Viscera.Weight","Shell.Weight","Age","SexF","SexI","SexM"
1,0.209217697047106,0.116945888158073,-0.647487762756912,-0.185909938302826,-0.0384245584178574,-0.0696042194245633,-0.438159928511079,9,1,0,0
2,-0.26633602190941,-0.301762276221205,-0.37399768345093,-0.50360398056855,-0.442125169769046,-0.464144296923944,-0.635908952883936,10,0,0,1
3,1.03062866615382,1.00670073746404,0.583217594120007,1.15955219859096,1.049811872181,1.05837574573392,1.93482836396321,18,0,0,1
4,-0.56896111579083,-0.668131920053072,-0.647487762756912,-1.00634086850484,-0.918542040307716,-0.944673878493703,-0.873207782131365,8,0,1,0
5,-1.30390777235999,-1.40087120771681,-1.46795800067486,-1.29282286451287,-1.25454130689815,-1.30886471926236,-1.30825563575165,6,0,1,0
6,0.5550749471973,0.797346655274398,0.719962633772997,0.992344807924788,0.688738033456955,1.05837574573392,1.14383226647178,11,1,0,0
7,0.209217697047106,0.378638490895121,0.172982475161034,0.223190810860404,0.254947935545429,0.486798453971999,0.273736559231208,10,0,0,1
8,0.425378478390977,0.430977011442531,0.172982475161034,0.351383143704468,0.405395368347114,0.461507423363065,0.234186754356637,9,1,0,0
9,-0.00694308429676493,-0.197085235126385,-0.510742723103921,-0.50360398056855,-0.529886172236696,-0.524842770385387,-0.540989421184965,9,0,0,1
10,0.425378478390977,0.430977011442531,-0.237252643797939,0.0682452955097529,-0.171319790726013,0.102374788716192,0.115537339732922,8,1,0,0
11,-1.43360424116631,-1.3485326871694,-1.19446792136888,-1.31400246733059,-1.28964570788521,-1.31898113150594,-1.29243571380182,12,0,0,1
12,0.0362890719720091,0.012268847063253,-0.100507604144948,-0.194827665805022,-0.344334338447951,-0.246641433687106,0.115537339732922,15,0,1,0
13,-1.00128267847857,-0.877486002242711,-1.46795800067486,-1.18469541854875,-1.08403421638957,-1.12676929887803,-1.11050661137879,7,0,1,0
14,-0.482496803253281,-0.458777837863434,-0.237252643797939,-0.589437107777184,-0.527378715023334,-0.656356129551848,-0.600314128496822,7,0,1,0
15,0.0795212282407832,0.169284408705482,-0.37399768345093,0.051524556443136,0.104500502743744,0.557613339677016,-0.0426618797653639,9,1,0,0
16,0.684771416003622,0.849685175821809,1.13019775273197,0.689142072850133,0.500678742454848,0.12260761320334,1.34158129084464,16,1,0,0
17,0.5550749471973,0.692669614179579,0.583217594120007,0.466198885295239,0.137097446517442,0.679010286599903,1.06473265672264,21,0,0,1
18,-1.34713992862877,-1.40087120771681,-1.46795800067486,-1.34187036577495,-1.28964570788521,-1.36450498660202,-1.38340026501334,7,0,1,0
19,-0.525728959522055,-0.563454878958253,-0.784232802409902,-0.838018761900891,-0.863377981613765,-0.737287427500438,-0.635908952883936,10,0,0,1
20,1.20355729122891,1.21605481965368,0.856707673425988,1.184075949222,1.35572165221109,1.35680990691935,1.2624816810955,10,1,0,0
21,-0.958050522209797,-1.03450156388494,-1.05772288171588,-1.15682752010439,-1.18433250492403,-1.11665288663446,-1.18960622112794,6,1,0,0
22,0.641539259734848,0.954362216916628,0.583217594120007,0.895364521338409,1.14258778907537,0.471623835606639,0.752289198213523,10,1,0,0
23,1.59264669764788,1.63476298403295,1.81392295099692,1.78267840780689,1.11249830251504,1.61983662525227,2.72582446145464,27,0,0,1
24,-0.223103865640636,-0.197085235126385,0.172982475161034,-0.237186871440452,-0.138722846952314,-0.155593723494941,-0.121761489514507,9,0,1,0
25,-0.525728959522055,-0.563454878958253,-0.784232802409902,-0.880377967536321,-0.758064778652585,-0.944673878493703,-0.972082294317794,7,0,1,0
26,-0.56896111579083,-0.615793399505663,-0.237252643797939,-0.78785654470104,-0.667796318971574,-0.711996396891504,-0.715008562633079,7,0,1,0
27,1.03062866615382,1.21605481965368,0.583217594120007,0.837399292574137,0.6987678623104,0.845931088618871,0.748334217726066,14,0,0,1
28,-1.60653286624141,-1.50554824881163,-1.46795800067486,-1.41990048141916,-1.3874365392063,-1.4504944906724,-1.38735524550079,6,0,1,0
29,0.295682009584654,0.378638490895121,0.172982475161034,0.219846663047081,0.104500502743744,0.481740247850213,0.787884022600637,11,1,0,0
30,0.684771416003622,-0.301762276221205,0.719962633772997,1.08486623076007,1.25040844924991,1.05837574573392,0.708784412851494,11,0,0,1
31,1.37648591630401,1.42540890184332,1.67717791134393,2.05243966474831,1.10999084530167,1.36186811304114,2.48852563220721,18,1,0,0
32,0.814467884809945,0.64033109363217,0.993452713078979,0.803957814440903,0.387843167853584,1.11907421919537,0.669234607976923,10,1,0,0
33,-0.26633602190941,-0.197085235126385,-0.237252643797939,-0.50360398056855,-0.454662455835853,-0.620948686699339,-0.398610123636507,8,0,1,0
34,-0.612193272059604,-0.563454878958253,-0.510742723103921,-0.720973588434571,-0.773109521932754,-0.6361233050647,-0.596359148009365,13,1,0,0
35,-2.1253187414667,-2.08127197483313,-1.74144807998084,-1.59156673583643,-1.56797345856832,-1.58706605596064,-1.59696921133602,5,0,1,0
